sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
589,1125899911179580,842,0gKLY_mzf7ibYEZ28tWuXA,0.545,2,0.76,0.76,ups customer center,ups customer center,us storage centers,2,0.0,0.0,"['shipping_center', 'post_office']","['shipping_center', 'post_office']","['self_storage', 'local_services']",0,0.33,0.32,"223 n james, kansas city, KS, 66118","223 n james st, kansas city, KS, 66118","7102 bakers bridge ave, brentwood, TN, 37027"
590,08f29a5654575c540367207b57fbfd10,6905,Tcu6gDDwPRONZ1-a9QZMGg,0.48,2,0.48,0.48,uptown cheapskate,uptown cheapskate,carpinteria swimming pool,2,0.0,0.0,"['thrift_store', 'clothing_store', 'shopping']","[""women's_clothing_store"", 'clothing_store', 'shopping_center', 'thrift_store', 'retail']","['beaches', 'swimming_pools', 'active_life']",2,0.48,0.48,"20725 hawthorne blvd, torrance, CA, 90503","20725 hawthorne blvd, torrance, CA, 90503","5305 carpinteria ave, carpinteria, CA, 93013"
592,08f2649a4660239203830d5b2b5da7ef,1950,SNYpn2BdTbz8QrrfH8rvdw,0.495,2,0.55,0.55,walmart,walmart,wawa,2,0.0,0.0,['retail'],"['tire_shop', 'automotive', 'retail']","['restaurants', 'sandwiches', 'food', 'delis', 'grocery', 'coffee_&_tea']",2,0.44,0.44,"2165 winchester rd ne, huntsville, AL, 35811","2165 winchester rd ne, huntsville, AL, 35811","801 conshohocken state rd, bala cynwyd, PA, 19004"
593,1688849864223886,14816,0fljOXjGVxPHAC_1dAIM_w,0.515,2,0.58,0.58,az mobile glass,az mobile glass,lasagna and more,2,0.0,0.0,"['auto_glass_service', 'windshield_installation_and_repair', 'automotive']","['auto_glass_service', 'windshield_installation_and_repair', 'automotive']","['american_(new)', 'food', 'italian', 'restaurants', 'food_delivery_services', 'event_planning_&_services', 'caterers']",2,0.45,0.45,"3336 e warbler rd, gilbert, AZ, 85297","3336 e warbler rd, gilbert, AZ, 85297","7856 e wrightstown rd, tucson, AZ, 85715"
594,08f264d133962a4d03f03f3066a92a36,35202,3MuUUkRYnx56VAYyENvQDA,0.655,2,0.71,0.71,downtown nashville nissan,downtown nashville nissan,up-down nashville,2,0.0,0.0,"['automotive_dealer', 'car_dealer', 'automotive_repair']","['used_car_dealer', 'automotive']","['arts_&_entertainment', 'arcades', 'restaurants', 'pizza', 'nightlife', 'bars']",2,0.6,0.6,"25 vantage way, nashville, TN, 37228","25 vantage way, nashville, TN, 37228","927 woodland st, nashville, TN, 37206"
595,08f2ab174c13156b0390efabde69bef7,422,fNssGWMjae-SUzyyGblspQ,0.485,0,0.5,0.29,pnc,pnc private bank,apron,2,0.0,0.0,"['bank_credit_union', 'financial_service', 'atms']","['bank_credit_union', 'atms']","['caterers', 'event_planning_&_services', 'sandwiches', 'restaurants']",1,0.42,0.47,"100 w federal st, youngstown, OH, 44503","100 e federal st, suite 700, youngstown, OH, 44503","47 e kings hwy, haddonfield, NJ, 08033"
596,1407374886424431,848,61oyIzeFjG977kMhMxVznw,0.505,1,0.51,0.6,carquest auto parts - jerry's auto parts,carquest auto parts,distler's auto repair,2,0.0,0.0,"['auto_parts_and_supply_store', 'retail']","['auto_parts_and_supply_store', 'retail']","['towing', 'automotive', 'auto_parts_&_supplies', 'auto_repair']",2,0.41,0.41,"2001 10th st, rock valley, IA, 51247","2001 10th st, rock valley, IA, 51247","100 n main st, o fallon, IL, 62269"
597,08f44eb2652a9ce603b0cd47cc2e14c8,689,H3JjbID9Zhukpqr9uupHAA,0.485,2,0.57,0.57,jackson hewitt tax service,jackson hewitt tax service,jackson's bar & bistro - nashville,2,0.0,0.0,"['trusts', 'accountant']","['tax_services', 'tax_office']","['burgers', 'bars', 'restaurants', 'nightlife', 'american_(new)', 'breakfast_&_brunch', 'lounges']",0,0.4,0.39,"11610 s memorial pkwy, huntsville, AL, 35803","11610 memorial pkwy sw, huntsville, AL, 35803","1800 21st ave s, nashville, TN, 37212"
599,08f2a3408249a11c0397b54731c9a7c6,986,ChrCGMx2MHhDYgZFuVhHWA,0.51,2,0.59,0.59,aphrodite salon,aphrodite salon,salon mosaic,2,0.0,0.0,"['beauty_and_spa', 'hair_salon', 'beauty_salon']","['hair_salon', 'beauty_and_spa']","['hair_salons', 'nail_salons', 'beauty_&_spas', 'skin_care']",0,0.43,0.39,"6 city ctr, portland, ME, 04101","6 city ctr 2nd fl, portland, ME, 04101","6815 sierra ctr pkwy, ste 400, reno, NV, 89511"
600,562949959538923,1843,g9L4Y9EgNzcj77zQkXK1rA,0.44499999999999995,0,0.41,0.39,evangelisches perthes-stiftung e v,evangelische perthes-stiftung e v,massage envy - manchester at baxter shops,2,0.0,0.0,"['assisted_living_facility', 'skilled_nursing', 'health_and_medical']","['assisted_living_facility', 'skilled_nursing', 'health_and_medical']","['beauty_&_spas', 'massage_therapy', 'automotive', 'skin_care', 'massage', 'health_&_medical']",0,0.48,0.42,"wienburgstr. 62, münster, 48147","wienburgstr. 62, münster, NORTH RHINE-WESTPHALIA, 48147","14523a manchester rd, manchester, MO, 63011"
601,1407374888380092,138,txiXR1YfMyk-5S4ZzOVIhQ,0.5,2,0.59,0.59,acceptance insurance,acceptance insurance,advance financial,2,0.0,0.0,"['auto_insurance', 'home_and_rental_insurance']","['auto_insurance', 'home_and_rental_insurance']","['title_loans', 'installment_loans', 'financial_services', 'check_cashing/pay-day_loans']",2,0.41,0.41,"4503 socastee blvd ste b, myrtle beach, SC, 29588","4503 socastee blvd ste b, myrtle beach, SC, 29588","2845 lebanon pike, nashville, TN, 37214"
602,1407374890752553,909,Iuir7lUtx-LMhYtStwyf3Q,0.495,2,0.42,0.42,roto-rooter plumbing & water cleanup,roto-rooter plumbing & water cleanup,another broken egg cafe,2,0.0,0.0,"['damage_restoration', 'plumbing']","['damage_restoration', 'plumbing']","['american_(traditional)', 'restaurants', 'breakfast_&_brunch', 'cafes', 'bars', 'nightlife', 'cocktail_bars']",2,0.57,0.57,"1629 hennepin ave ste 300g, minneapolis, MN, 55403","1629 hennepin ave ste 300g, minneapolis, MN, 55403","5025 e 82nd st, ste 2500, indianapolis, IN, 46250"
603,08f2a100d65186e903b7773ba5091680,1809,8l3w-veP9tSZ2W0vGgw_yA,0.51,2,0.53,0.53,le pain quotidien,le pain quotidien,all points towing,2,0.0,0.0,"['bakery', 'breakfast_and_brunch_restaurant', 'cafe']","['coffee_shop', 'breakfast_and_brunch_restaurant', 'cafe', 'sandwich_shop', 'soup_restaurant', 'flatbread_restaurant', 'restaurant']","['automotive', 'auto_repair', 'auction_houses', 'towing', 'roadside_assistance', 'shopping']",2,0.49,0.49,"250 w 55th st, new york, NY, 10019","250 w 55th st, new york, NY, 10019","2801 vassar st, ste b, reno, NV, 89502"
604,562949955397690,220,rCoWa-C7Os51GjFkCnFlVw,0.6,2,1.0,1.0,rite aid,rite aid,rite aid,2,0.0,0.0,"['pharmacy', 'drugstore', 'retail']","['pharmacy', 'retail']","['drugstores', 'convenience_stores', 'food', 'shopping']",1,0.19,0.2,"783 manhattan avenue, brooklyn, NY, 11222","783 manhattan ave, brooklyn, NY, 11222","700 haddonfield berlin rd s37, voorhees, NJ, 08043"
605,08f346b4c0ba9a09031e787eead63fa7,1805,MOBvgVwvZMV8hyngcr7hfw,0.47500000000000003,2,0.56,0.56,cl nica veterinaria los galgos,cl nica veterinaria los galgos,shiloh veterinary clinic,1,0.0,0.09090909090909091,"['veterinarian', 'pet_services', 'professional_services']","['pet_groomer', 'clinical_laboratories', 'doctor', 'medical_center', 'pet_services', 'veterinarian', 'b2b_medical_support_services', 'health_and_medical', 'pets', 'business_to_business']","['veterinarians', 'pets']",0,0.39,0.35,"calle sor simona, 57, las palmas de gran canaria, 35012","calle sor simona 57, las palmas de gran canaria, LAS PALMAS, 35012","3690 green mount crossing, shiloh, IL, 62269"
606,08f1f1d48149303303581d063afa1b3a,1597,Pb5agnsD9EdCl6yuZp2jJA,0.495,2,0.57,0.57,h co stoffe,h co stoffe,o sole mio,2,0.0,0.0,"['fabric_store', 'b2b_textiles', ""children's_clothing_store""]","['fabric_store', 'clothing_store', 'arts_and_crafts', 'retail']","['food', 'seafood', 'sardinian', 'gelato', 'restaurants', 'pizza', 'italian']",1,0.39,0.42,"lise-meitner-straße 7, berlin, 10589","lise-meitner-str. 7-9, berlin, 10589","250 catharine st, philadelphia, PA, 19147"
607,08f424b75d40d0cb03592d4b2fa75750,223,QU-X2Pijwd4SitfYXoZWMQ,0.46499999999999997,0,0.62,0.38,apollo tyres - bhatia tyre & service,apollo tyres,mason's tree service,2,0.0,0.0,"['tire_shop', 'retail']","['tire_dealer_and_repair', 'auto_manufacturers_and_distributors']","['home_services', 'tree_services']",1,0.29,0.31,"shop no 233, auto market, fatehabad, HARYANA, 125050","shop no 233, 125050","west chester, PA, 19380"
608,1407374887982135,105238,g8kJe5_9r5ZM3WFeAEI2sw,0.6799999999999999,2,0.62,0.62,extra space storage,extra space storage,acorn storage,2,0.0,0.0,"['self_storage_facility', 'business_storage_and_transportation', 'business_to_business']","['self_storage_facility', 'business_storage_and_transportation', 'business_to_business']","['local_services', 'real_estate', 'apartments', 'home_services', 'self_storage']",2,0.74,0.74,"3469 e amity rd, meridian, ID, 83642","3469 e amity rd, meridian, ID, 83642","641 w franklin rd, meridian, ID, 83642"
609,08f3d16161bb6730037553777da33a01,1610,5F7ZVghsgRunOIY3qP8dxQ,0.5,2,0.63,0.63,indianoil,indianoil,diva nails,2,0.0,0.0,['gas_station'],"['gas_station', 'automotive']","['eyelash_service', 'waxing', 'hair_removal', 'beauty_&_spas', 'nail_salons']",0,0.37,0.28,"bahera road, bhadson road, 147001","bahera road, patiala bhadson road, bakshiwala, patiala, PUNJAB, 147001","4056 kietzke ln, reno, NV, 89502"
611,1970324838624365,144012,g0fYqQRRKmYIfChE4jMLsg,0.42500000000000004,2,0.51,0.51,puroclean managed services,puroclean managed services,all service citgo,2,0.0,0.0,"['fire_and_water_damage_restoration', 'damage_restoration', 'carpet_cleaning']","['fire_and_water_damage_restoration', 'damage_restoration', 'carpet_cleaning']","['oil_change_stations', 'automotive', 'gas_stations', 'roadside_assistance', 'auto_repair', 'tires', 'towing']",2,0.34,0.34,"82 leroy rd, williston, VT, 05495","82 leroy rd, williston, VT, 05495","212 lincoln st, bennington, VT, 05201"
612,08f1fa37594d3d950337aa2b2f0f456e,1385,icbe_DxKtXG2p3KlJsqYig,0.45,0,0.53,0.34,kreissparkasse saarlouis - geldautomat,kreissparkasse saarlouis - sb-stelle,margarita's beauty salon,2,0.0,0.0,"['bank_credit_union', 'atms']","['bank_credit_union', 'atms']","['hair_salons', 'beauty_&_spas', 'barbers']",2,0.37,0.37,"schaumbergstr. 110, lebach, SAARLAND, 66822","schaumbergstr. 110, lebach, SAARLAND, 66822","1614 spruce st, philadelphia, PA, 19103"
613,1688849860467549,1786,J8j18KB--ZH4MjTQryPEpA,0.66,2,1.0,1.0,burger king,burger king,burger king,2,0.0,0.0,"['beverage_supplier', 'burger_restaurant', 'fast_food_restaurant', 'sandwich_shop', 'business_equipment_and_supply', 'food_and_beverage_consultant', 'restaurant', 'business_to_business']","['beverage_supplier', 'burger_restaurant', 'fast_food_restaurant', 'sandwich_shop', 'business_equipment_and_supply', 'food_and_beverage_consultant', 'restaurant', 'business_to_business']","['burgers', 'fast_food', 'restaurants']",2,0.32,0.32,"164 s main st, new city, NY, 10956","164 s main st, new city, NY, 10956","4403 w gandy blvd, tampa, FL, 33611"
614,08f445b4c5a5062e033922d5bb8e7dbb,964,vuL3QCjFZ7lU5LMdUAmZ9Q,0.72,2,1.0,1.0,subway,subway,subway,2,0.0,0.0,"['sandwich_shop', 'restaurant', 'fast_food_restaurant']","['fast_food_restaurant', 'sandwich_shop', 'restaurant']","['sandwiches', 'fast_food', 'restaurants']",1,0.42,0.44,"211 state highway 30 w, new albany, MS, 38652","211 b hwy 30 w, new albany, MS, 38652","383 w lancaster ave, wayne, PA, 19087"
617,08f3922211a9429003d34a89765a66c1,1192,KDIkj7rASjiE1xUnyXALnQ,0.43,1,0.33,0.5,fidelidade marco canaveses,fidelidade,ham's deli,2,0.0,0.0,['insurance_agency'],"['shopping_center', 'retail']","['event_planning_&_services', 'delis', 'sandwiches', 'restaurants', 'caterers', 'american_(traditional)']",0,0.36,0.33,"avenida do futebol clube do porto 779, marco de canaveses, 04630","avenida futebol clube do porto 779, marco de canaveses, PORTO, 04630","105 n main st, st charles, MO, 63301"
618,08f2a95633c2bb9003cff09de0014d1e,1570,2STdNUM3QLhnPfZF5X9eBw,0.5599999999999999,1,0.53,0.69,easton town center columbus ohio,easton town center,downtown cleaners,2,0.0,0.0,[],['hotel'],"['laundry_services', 'dry_cleaning_&_laundry', 'local_services']",1,0.09,0.43,"columbus, OH","160 easton town ctr, columbus, OH, 43219","206 4th ave n, nashville, TN, 37219"
620,08f1f22ba441bd8003c9ac92d5a2e082,1420,ztTG53focX9AWC_nxZNCFA,0.405,2,0.42,0.42,oscar biludlejning lisbjerg,oscar biludlejning lisbjerg,starr general contracting,2,0.0,0.0,"['car_rental_agency', 'professional_services']",['travel'],"['plumbing', 'contractors', 'home_services']",0,0.39,0.31,"lisbjergbakken 2d, aarhus n, 82, 08200","lisbjergbakken 2d, aarhus, 08200","franklinville, NJ, 08322"
621,08f28a6d5425cc25036a19e18ff103fb,20286,QMTUw2T0HAbD9C3sR05Uqg,0.495,0,0.48,0.45,vitality integrated programs,vitality integrated programs vip,quality first home improvement,2,0.0,0.0,"['counseling_and_mental_health', 'medical_service_organizations', 'public_service_and_government']",['health_and_medical'],"['home_services', 'contractors', 'solar_installation', 'windows_installation', 'roofing']",1,0.37,0.51,"215 bluffs ave, elko, NV, 89801","215 bluffs ave ste s 100, elko, NV, 89801","4840 mill st, ste 1, reno, NV, 89502"
622,2251799820737292,45,wghnIlMb_i5U46HMBGx9ig,0.46499999999999997,2,0.45,0.45,ultra tune shepparton,ultra tune shepparton,china dragon restaurant,2,0.0,0.0,['automotive'],['automotive'],"['restaurants', 'chinese']",2,0.48,0.48,"60 benalla road, shepparton, VICTORIA, 03630","60 benalla road, shepparton, VICTORIA, 03630","1625 w valencia rd, ste 101-103, tucson, AZ, 85746"
624,08f26018a238d29d03c56d0d299be776,578,5whwQ1UnbkT2wwD8-08Rpw,0.47,1,0.32,0.42,hy-vee,hy-vee grocery store,cole brothers,2,0.0,0.0,"['supermarket', 'grocery_store', 'pharmacy']","['drugstore', 'retail']","['automotive', 'auto_parts_&_supplies']",2,0.52,0.52,"1951 s main ave, sioux center, IA, 51250","1951 s main ave, sioux center, IA, 51250","711 myatt center ln, madison, TN, 37115"
625,08f44a10427aa30403ae784f848c6402,4248,t4uYspSBFG90ks_CNnhJQw,0.475,1,0.45,0.54,kidz pediatric gastroenterology & nutrition,kidz pediatric gastroenterology,pediatric surgery centers,2,0.0,0.0,"['pediatrician', 'doctor', 'childrens_hospital']","['pediatrician', 'doctor', 'childrens_hospital', 'health_and_medical']","['medical_centers', 'pediatricians', 'surgeons', 'health_&_medical', 'doctors']",2,0.41,0.41,"3800 johnson st ste j, hollywood, FL, 33021","3800 johnson st ste j, hollywood, FL, 33021","14111 state rd 54, odessa, FL, 33556"
627,08f60a25956e9c32037d249a03ec6a9a,19244,bySoFVPOK7cktWI5pqqoNw,0.48000000000000004,0,0.56,0.46,profile publishing location 1,profile publishing location name - local,action roofing,2,0.0,0.0,['automotive'],['automotive'],"['home_services', 'gutter_services', 'shopping', 'roofing', 'hardware_stores', 'building_supplies', 'contractors', 'home_&_garden']",2,0.4,0.4,"1766 palo verde ave, east palo alto, CA, 96303","1766 palo verde ave, east palo alto, CA, 96303","534 e ortega st, santa barbara, CA, 93103"
628,08fbe63da4d1c35203c109690c55a1a6,932,xS1cKW1BssWSVJ_a59N49Q,0.43,2,0.47,0.47,pakenham isuzu ute,pakenham isuzu ute,boise towne square dental,2,0.0,0.0,"['car_dealer', 'automotive_dealer', 'commercial_vehicle_dealer']","['used_car_dealer', 'automotive']","['teeth_whitening', 'general_dentistry', 'health_&_medical', 'dentists', 'beauty_&_spas', 'cosmetic_dentists', 'oral_surgeons', 'pediatric_dentists']",0,0.39,0.34,"26 commercial dr, melbourne, VIC, 03810","26 commercial drive, pakenham, VICTORIA, 03810","8660 w emerald st, ste 152, boise, ID, 83704"
630,08f260a13399236b03992e39e7aca4b9,272,rYOrSXy2I4BcxB7dhg29uA,0.445,2,0.54,0.54,a-1 refrigeration,a-1 refrigeration,restoration hardware,2,0.0,0.0,"['hvac_services', 'professional_services', 'appliance_store']","['appliance_store', 'hvac_services', 'retail']","['shopping', 'furniture_stores', 'home_&_garden']",2,0.35,0.35,"1134 n 21st st, lincoln, NE, 68503","1134 n 21st st, lincoln, NE, 68503","2126 abbott martin rd, ste 265, nashville, TN, 37215"
631,08f60a25956e9c32032269ac4ac32289,20706,gRP2B9uMhpoOr7oCWQ-qwg,0.46499999999999997,2,0.42,0.42,profile publishing location name - suite,profile publishing location name - suite,lana nails & spa,2,0.0,0.0,['automotive'],['automotive'],"['skin_care', 'waxing', 'hair_removal', 'eyelash_service', 'nail_salons', 'beauty_&_spas', 'shopping', 'cosmetics_&_beauty_supply']",2,0.51,0.51,"1766 palo verde ave, east palo alto, CA, 96303","1766 palo verde ave, east palo alto, CA, 96303","887 linden ave, carpinteria, CA, 93013"
633,08f194042c90cb2c03aefebf4fee758f,854,Jpjez35yrcPwCu5NZwYNlw,0.46,2,0.52,0.52,evri parcelshop,evri parcelshop,jake's place,2,0.0,0.0,"['food_delivery_service', 'courier_and_delivery_services', 'food']","['food_delivery_service', 'courier_and_delivery_services', 'food']","['active_life', 'playgrounds']",2,0.4,0.4,"91 ings road, hull, HU8 0LS","91 ings road, hull, HU8 0LS","132 bortons mill rd, cherry hill, NJ, 08034"
634,08f2759ac860810403b488b2ba85c6e1,661,WYVDN3VDDTiEUV0QR8D2Hg,0.5,2,0.54,0.54,dick's sporting goods,dick's sporting goods,ron & jo's firearms & sporting supplies,2,0.0,0.0,"['outdoor_gear', 'sports_wear', 'retail']","['outdoor_gear', 'sports_wear', 'retail']","['guns_&_ammo', 'sporting_goods', 'shopping']",2,0.46,0.46,"1900 tower dr, glenview, IL, 60026","1900 tower dr, glenview, IL, 60026","1562 frontage rd, o fallon, IL, 62269"
635,1407374890266444,848,61oyIzeFjG977kMhMxVznw,0.495,2,0.38,0.38,blountsville pharmacy,blountsville pharmacy,distler's auto repair,2,0.0,0.0,"['pharmacy', 'drugstore', 'retail']","['pharmacy', 'drugstore', 'retail']","['towing', 'automotive', 'auto_parts_&_supplies', 'auto_repair']",2,0.61,0.61,"69005 main st, blountsville, AL, 35031","69005 main st, blountsville, AL, 35031","100 n main st, o fallon, IL, 62269"
636,08f392ada2d63b50039e5e6688c12a4e,641,wR8V8u3_wv-yjR-CIHyY0Q,0.46,2,0.52,0.52,instituto del comportamiento,instituto del comportamiento,collins apartments,2,0.0,0.0,"['psychologist', 'counseling_and_mental_health', 'education']","['psychologist', 'psychotherapist', 'dentist', 'education', 'health_and_medical']","['real_estate', 'home_services', 'apartments']",1,0.36,0.4,"calle san vicente ferrer, 7, salamanca, 37008","calle san vicente ferrer, 7, 1º puerta 1, salamanca, 37008","1125 sansom st, philadelphia, PA, 19107"
637,08f2ab2c0298828b039141c3ac9fc73f,57832,9gU9waGZhzOOpUy78O_YBQ,0.405,1,0.29,0.32,jax kar wash,jax kar wash - royal oak,mr brakes,1,0.0,0.125,"['car_wash', 'auto_detailing', 'automotive_repair']","['auto_detailing', 'car_wash', 'automotive']","['oil_change_stations', 'wheel_&_rim_repair', 'automotive', 'towing', 'auto_repair', 'auto_parts_&_supplies']",2,0.49,0.49,"27054 woodward ave, royal oak, MI, 48067","27054 woodward ave, royal oak, MI, 48067","26671 gratiot ave, roseville, MI, 48066"
639,1688849863252034,32745,eGxpmSwXRnSbj5U1e1_zcg,0.48,0,0.42,0.37,learn and play montessori school,learn and play montessori school - peralta,risdon's auto care center,2,0.0,0.0,"['montessori_school', 'preschool', 'school', 'education']","['montessori_school', 'preschool', 'school', 'education']","['gas_stations', 'auto_repair', 'automotive', 'smog_check_stations', 'tires', 'auto_parts_&_supplies', 'oil_change_stations']",2,0.54,0.54,"4511 peralta blvd, fremont, CA, 94536","4511 peralta blvd, fremont, CA, 94536","516 palm ave, carpinteria, CA, 93013"
640,08f2a8865b604cf0030145b0379d1ca1,1867,XQfwVwDr-v0ZS3_CbbE5Xw,0.48,2,0.53,0.53,triangle cycles north,triangle cycles north,turning point of north wales,2,0.0,0.0,"['motorcycle_dealer', 'motorcycle_repair', 'shopping']","['motorcycle_dealer', 'motorcycle_repair', 'automotive']","['restaurants', 'breakfast_&_brunch', 'food', 'juice_bars_&_smoothies', 'american_(new)', 'coffee_&_tea', 'sandwiches']",2,0.43,0.43,"2104 riverside dr, danville, VA, 24540","2104 riverside dr, danville, VA, 24540","1460 bethlehem pike, north wales, PA, 19454"
641,08f2b983417951b10336b4afa2d10c16,1261,BgExC6utFsEhgyUqtw_ppg,0.485,0,0.47,0.26,h&r block canada,h&r block,banana's music,2,0.0,0.0,"['trusts', 'financial_service', 'accountant']","['tax_services', 'tax_office']","['books', 'mags', 'music_&_video', 'vinyl_records', 'music_&_dvds', 'shopping']",1,0.46,0.5,"105 peter st, port hope, ON, L1A 1C5","105 peter st, #a, port hope, ON, L1A 1C3","2887 22nd ave n, saint petersburg, FL, 33713"
642,08f44aeaf2b02cec03fd06b92c412a87,7623,BJ0Z74sTz9sxRr1R533Inw,0.535,2,0.62,0.62,always best care senior services,always best care senior services,best rate home services,2,0.0,0.0,"['home_health_care', 'retirement_home', 'housing_authorities']","['home_health_care', 'assisted_living_facility', 'personal_care_service', 'health_and_medical']","['restaurants', 'local_services', 'movers', 'home_cleaning', 'home_&_garden', 'hardware_stores', 'pizza', 'junk_removal_&_hauling', 'shopping', 'home_services']",0,0.45,0.44,"9002 se bridge rd, hobe sound, FL, 33455","9002 se bridge rd ste 5, hobe sound, FL, 33455","333 n. falkenburg rd, ste b-227, tampa bay, FL, 33619"
643,562949961049311,26272,22_KB3FITRnuTXCEHsXpIg,0.605,2,0.33,0.33,lincolnberg master builder,lincolnberg master builder,brown butter cafe,2,0.0,0.0,"['real_estate_service', 'builders']","['real_estate_service', 'builders']","['cafes', 'restaurants']",1,0.73,0.88,"1665 91 street southwest, edmonton, AB, T6X 0W8","1665 91 st sw, edmonton, AB, T6X 0W8","1528 91 st sw, edmonton, AB, T6X 1M5"
644,08f26d9ac62c829b030e082fd3fad948,95091,oTRrNy5VIaTw7MKEvxZl7A,0.435,0,0.35,0.29,blake fulenwider chevrolet gmc,blake fulenwider chevrolet gmc eastland,wildlife wonders,2,0.0,0.0,"['car_dealer', 'automotive_dealer', 'professional_services']","['used_car_dealer', 'automotive']","['shopping', 'outdoor_furniture_stores', 'home_decor', 'jewelry', 'home_&_garden']",2,0.52,0.52,"1245 e main st, eastland, TX, 76448","1245 e main st, eastland, TX, 76448","7703 n lamar blvd, ste 118, austin, TX, 78752"
645,08f3c0acd08b018503aa77c1d93d56e0,564,D5DBDShzSVx_gQtdIbOqZg,0.46499999999999997,0,0.52,0.1,sikkim lit travel,sikkim,public storage,2,0.0,0.0,"['travel_services', 'taxi_service', 'transportation']","['tours', 'travel_services', 'professional_services']","['self_storage', 'local_services']",0,0.41,0.28,"tibet rd, above mahatma gandhi marg, 737101","gangtok, gangtok, +977","7430 madison ave, indianapolis, IN, 46227"
647,08f29a56e9b8250903db13b0cdb9d5fe,54537,tVANmuveTQe9z-oSR-FkwA,0.545,0,0.67,0.51,flying locksmiths,flying locksmiths - los angeles west,esp locksmith,2,0.0,0.0,"['professional_services', 'key_and_locksmith', 'private_investigation']",['key_and_locksmith'],"['security_systems', 'home_services', 'keys_&_locksmiths']",1,0.36,0.42,"11222 s la cienega blvd, inglewood, CA, 90304","11222 s la cienega blvd ste 254, inglewood, CA, 90304","3623 state st, santa barbara, CA, 93105"
648,08fbe0e34313646103ac9822246f768f,1619,FZFPZehgAPVHart6C9U3Og,0.445,2,0.5,0.5,yardy legal,yardy legal,legacy tattoo,2,0.0,0.0,"['legal_services', 'financial_service']",['business_consulting'],"['tattoo', 'beauty_&_spas']",0,0.39,0.36,"51-55 holt st, sydney, NSW, 02010","55 holt street, surry hills, NEW SOUTH WALES, 02010","4500 n oracle rd, ste 337b, tucson, AZ, 85705"
649,08f29a56ac78622103af67000f92be63,19032,EtGFDdjui_Hww78JU4XoXg,0.73,2,1.0,1.0,7-eleven,7-eleven,7-eleven,2,0.0,0.0,"['convenience_store', 'shopping', 'candy_store']","['convenience_store', 'coffee_shop', 'restaurant', 'retail']","['convenience_stores', 'food', 'coffee_&_tea']",2,0.46,0.46,"2611 carson st, lakewood, CA, 90712","2611 carson st, lakewood, CA, 90712","402 n milpas st, santa barbara, CA, 93103"
650,08fbc1b6687812190321971143c89e68,1952,Wam2NsNELVughewWJA1OjQ,0.66,2,1.0,1.0,shell,shell,shell,1,0.0,0.14285714285714285,"['gas_station', 'convenience_store', 'energy_company']","['convenience_store', 'gas_station', 'b2b_energy_mining', 'automotive', 'business_to_business', 'retail']","['gas_stations', 'automotive']",0,0.32,0.25,"663 jan smuts hwy, bonela, KZN, 04091","663 jan smuts highway, durban, KWAZULU-NATAL","8703 col h weir cook memorial dr, indianapolis, IN, 46241"
651,1407374883710721,492,hE1ouPLiGQiAkiOacnZVLw,0.535,1,0.56,0.67,red wing shoe store,red wing,nevada towing,2,0.0,0.0,"['shoe_store', 'shoe_repair', 'retail']","['shoe_store', 'shoe_repair', 'retail']","['self_storage', 'local_services', 'automotive', 'towing', 'used_car_dealers', 'roadside_assistance', 'car_dealers']",0,0.4,0.21,"8513 midlothian tpke, richmond, VA, 23235","8513 midlothian tpke, north chesterfield, VA, 23235","13855 mount anderson st, reno, NV, 89506"
652,1407374890853378,48007,Czwsap-OHVx0VjykOtoFxg,0.595,2,0.73,0.73,panera bread,panera bread,bead place,2,0.0,0.0,"['coffee_shop', 'cafe', 'salad_bar', 'sandwich_shop', 'soup_restaurant', 'food', 'restaurant']","['coffee_shop', 'cafe', 'salad_bar', 'sandwich_shop', 'soup_restaurant', 'food', 'restaurant']","['jewelry', 'fashion', 'arts_&_crafts', 'accessories', 'advertising', 'arts_&_entertainment', 'professional_services', ""women's_clothing"", 'art_supplies', 'shopping']",2,0.46,0.46,"11069 w lincoln hwy, frankfort, IL, 60423","11069 w lincoln hwy, frankfort, IL, 60423","5500 n illinois, fairview heights, IL, 62208"
653,08f44e825631310e03836b9075419186,598,-H6s1c2NRic5UKxXqi4FdQ,0.45,2,0.35,0.35,birmingham dentures and implants,birmingham dentures and implants,bagelicious and more,2,0.0,0.0,"['dentist', 'health_and_medical', 'prosthodontist']","['general_dentistry', 'dentist', 'health_and_medical']","['food', 'breakfast_&_brunch', 'restaurants', 'bagels', 'coffee_&_tea']",2,0.55,0.55,"313 aaron dr, birmingham, AL, 35215","313 aaron dr, birmingham, AL, 35215","1232 kingsway rd, brandon, FL, 33510"
